experiment_group,method,dataset,measure,shot,num_iterations,classifier,pair_strategy,hard_negative_ratio,mean,std,delta_vs_reference,reference
classifier,SetFit KNN,sst5,accuracy,8,20,KNN,random,N/A,44.1,2.5,+0.0,SetFit LR
classifier,SetFit LR,sst5,accuracy,8,20,LR,random,N/A,44.1,2.3,+0.0,SetFit LR
classifier,SetFit SVC-RBF,sst5,accuracy,8,20,SVC-RBF,random,N/A,44.5,2.5,+0.4,SetFit LR
classifier,SetFit KNN,emotion,accuracy,8,20,KNN,random,N/A,49.2,3.7,+0.1,SetFit LR
classifier,SetFit LR,emotion,accuracy,8,20,LR,random,N/A,49.1,3.6,+0.0,SetFit LR
classifier,SetFit SVC-RBF,emotion,accuracy,8,20,SVC-RBF,random,N/A,48.6,4.4,-0.5,SetFit LR
classifier,SetFit KNN,enron_spam,accuracy,8,20,KNN,random,N/A,90.2,3.4,+0.1,SetFit LR
classifier,SetFit LR,enron_spam,accuracy,8,20,LR,random,N/A,90.1,3.4,+0.0,SetFit LR
classifier,SetFit SVC-RBF,enron_spam,accuracy,8,20,SVC-RBF,random,N/A,90.0,3.6,-0.1,SetFit LR
classifier,SetFit KNN,ag_news,accuracy,8,20,KNN,random,N/A,83.2,2.8,+0.2,SetFit LR
classifier,SetFit LR,ag_news,accuracy,8,20,LR,random,N/A,83.0,3.2,+0.0,SetFit LR
classifier,SetFit SVC-RBF,ag_news,accuracy,8,20,SVC-RBF,random,N/A,82.2,3.7,-0.8,SetFit LR
classifier,SetFit KNN,amazon_counterfactual_en,matthews_correlation,8,20,KNN,random,N/A,38.6,13.1,-1.7,SetFit LR
classifier,SetFit LR,amazon_counterfactual_en,matthews_correlation,8,20,LR,random,N/A,40.3,13.5,+0.0,SetFit LR
classifier,SetFit SVC-RBF,amazon_counterfactual_en,matthews_correlation,8,20,SVC-RBF,random,N/A,42.7,14.1,+2.4,SetFit LR
classifier,SetFit KNN,SentEval-CR,accuracy,8,20,KNN,random,N/A,89.0,1.3,+0.1,SetFit LR
classifier,SetFit LR,SentEval-CR,accuracy,8,20,LR,random,N/A,88.9,1.4,+0.0,SetFit LR
classifier,SetFit SVC-RBF,SentEval-CR,accuracy,8,20,SVC-RBF,random,N/A,88.8,1.5,-0.1,SetFit LR
classifier,SetFit KNN,Average,N/A,8,20,KNN,random,N/A,65.7,4.4,-0.2,SetFit LR
classifier,SetFit LR,Average,N/A,8,20,LR,random,N/A,65.9,4.6,+0.0,SetFit LR
classifier,SetFit SVC-RBF,Average,N/A,8,20,SVC-RBF,random,N/A,66.2,4.9,+0.3,SetFit LR
