dataset,measure,shot,method,mean,std,delta_vs_setfit
sst5,accuracy,2,Frozen ST + LR,31.0,2.1,-2.0
sst5,accuracy,2,SetFit,33.0,2.9,+0.0
sst5,accuracy,2,SetFit-HN-50,33.5,2.7,+0.5
sst5,accuracy,4,Frozen ST + LR,33.9,1.9,-5.2
sst5,accuracy,4,SetFit,39.1,3.0,+0.0
sst5,accuracy,4,SetFit-HN-50,38.8,2.4,-0.3
sst5,accuracy,8,Frozen ST + LR,36.8,2.1,-7.3
sst5,accuracy,8,SetFit,44.1,2.3,+0.0
sst5,accuracy,8,SetFit-HN-50,43.5,3.4,-0.6
sst5,accuracy,16,Frozen ST + LR,38.7,2.0,-7.7
sst5,accuracy,16,SetFit,46.4,1.6,+0.0
sst5,accuracy,16,SetFit-HN-50,47.4,0.7,+1.0
sst5,accuracy,64,Frozen ST + LR,42.2,1.6,-9.6
sst5,accuracy,64,SetFit,51.8,0.5,+0.0
sst5,accuracy,64,SetFit-HN-50,52.3,0.4,+0.5
emotion,accuracy,2,Frozen ST + LR,28.9,6.0,-0.3
emotion,accuracy,2,SetFit,29.2,6.4,+0.0
emotion,accuracy,2,SetFit-HN-50,30.8,7.5,+1.6
emotion,accuracy,4,Frozen ST + LR,32.4,3.4,-5.1
emotion,accuracy,4,SetFit,37.5,4.2,+0.0
emotion,accuracy,4,SetFit-HN-50,37.7,3.7,+0.2
emotion,accuracy,8,Frozen ST + LR,37.8,3.0,-11.3
emotion,accuracy,8,SetFit,49.1,3.6,+0.0
emotion,accuracy,8,SetFit-HN-50,50.0,4.4,+0.9
emotion,accuracy,16,Frozen ST + LR,41.6,2.9,-17.9
emotion,accuracy,16,SetFit,59.5,3.0,+0.0
emotion,accuracy,16,SetFit-HN-50,60.9,3.4,+1.4
emotion,accuracy,64,Frozen ST + LR,50.8,1.5,-25.7
emotion,accuracy,64,SetFit,76.5,1.3,+0.0
emotion,accuracy,64,SetFit-HN-50,75.9,1.6,-0.6
enron_spam,accuracy,2,Frozen ST + LR,76.3,7.8,+0.0
enron_spam,accuracy,2,SetFit,76.3,7.1,+0.0
enron_spam,accuracy,2,SetFit-HN-50,76.4,7.6,+0.1
