method,dataset,measure,shot,mean,std
SetFit,sst5,accuracy,8,44.1,2.3
SetFit,emotion,accuracy,8,49.1,3.6
SetFit,enron_spam,accuracy,8,90.1,3.4
SetFit,ag_news,accuracy,8,83.0,3.2
SetFit,amazon_counterfactual_en,matthews_correlation,8,40.3,13.5
SetFit,SentEval-CR,accuracy,8,88.9,1.4
SetFit,Average,N/A,8,65.9,4.6
HN-25,sst5,accuracy,8,43.8,3.5
HN-25,emotion,accuracy,8,50.0,3.5
HN-25,enron_spam,accuracy,8,90.2,3.2
HN-25,ag_news,accuracy,8,83.4,2.7
HN-25,amazon_counterfactual_en,matthews_correlation,8,45.0,12.8
HN-25,SentEval-CR,accuracy,8,89.0,1.6
HN-25,Average,N/A,8,66.9,4.6
HN-50,sst5,accuracy,8,43.5,3.4
HN-50,emotion,accuracy,8,50.0,4.4
HN-50,enron_spam,accuracy,8,90.1,3.2
HN-50,ag_news,accuracy,8,83.4,2.4
HN-50,amazon_counterfactual_en,matthews_correlation,8,44.9,13.3
HN-50,SentEval-CR,accuracy,8,88.8,2.0
HN-50,Average,N/A,8,66.8,4.8
HN-75,sst5,accuracy,8,43.8,2.7
HN-75,emotion,accuracy,8,49.2,3.8
HN-75,enron_spam,accuracy,8,90.2,3.2
HN-75,ag_news,accuracy,8,83.6,2.3
HN-75,amazon_counterfactual_en,matthews_correlation,8,44.3,13.2
HN-75,SentEval-CR,accuracy,8,88.8,2.0
HN-75,Average,N/A,8,66.7,4.5
HN-100,sst5,accuracy,8,43.7,2.7
HN-100,emotion,accuracy,8,48.6,3.7
HN-100,enron_spam,accuracy,8,90.3,3.3
HN-100,ag_news,accuracy,8,83.3,2.6
HN-100,amazon_counterfactual_en,matthews_correlation,8,44.3,13.0
HN-100,SentEval-CR,accuracy,8,89.0,1.8
HN-100,Average,N/A,8,66.5,4.5
