dataset,measure,shot,frozen_st_lr_mean,frozen_st_lr_std,setfit_mean,setfit_std,setfit_minus_frozen
sst5,accuracy,2,31.0,2.1,33.0,2.9,2.0
sst5,accuracy,4,33.9,1.9,39.1,3.0,5.200000000000003
sst5,accuracy,8,36.8,2.1,44.1,2.3,7.300000000000004
sst5,accuracy,16,38.7,2.0,46.4,1.6,7.699999999999996
emotion,accuracy,2,28.9,6.0,29.2,6.4,0.3000000000000007
emotion,accuracy,4,32.4,3.4,37.5,4.2,5.100000000000001
emotion,accuracy,8,37.8,3.0,49.1,3.6,11.300000000000004
emotion,accuracy,16,41.6,2.9,59.5,3.0,17.9
enron_spam,accuracy,2,76.3,7.8,76.3,7.1,0.0
enron_spam,accuracy,4,85.2,5.0,87.1,4.1,1.8999999999999915
enron_spam,accuracy,8,90.4,1.8,90.1,3.4,-0.30000000000001137
enron_spam,accuracy,16,92.9,1.1,92.7,2.1,-0.20000000000000284
ag_news,accuracy,2,57.6,4.1,63.9,5.4,6.299999999999997
ag_news,accuracy,4,65.9,3.0,76.7,4.1,10.799999999999997
ag_news,accuracy,8,74.3,2.8,83.0,3.2,8.700000000000003
ag_news,accuracy,16,79.6,1.1,85.2,1.3,5.6000000000000085
amazon_counterfactual_en,matthews_correlation,2,14.7,5.1,19.0,8.3,4.300000000000001
amazon_counterfactual_en,matthews_correlation,4,17.9,9.4,25.6,13.6,7.700000000000003
amazon_counterfactual_en,matthews_correlation,8,22.2,7.3,40.3,13.5,18.099999999999998
amazon_counterfactual_en,matthews_correlation,16,28.6,6.8,50.7,6.9,22.1
SentEval-CR,accuracy,2,72.8,7.7,76.7,10.5,3.9000000000000057
SentEval-CR,accuracy,4,75.7,9.1,81.7,9.0,6.0
SentEval-CR,accuracy,8,84.2,2.3,88.9,1.4,4.700000000000003
SentEval-CR,accuracy,16,85.9,1.3,88.8,1.4,2.8999999999999915
Average,N/A,2,46.9,5.5,49.7,6.8,2.8000000000000043
Average,N/A,4,51.8,5.3,58.0,6.3,6.200000000000003
Average,N/A,8,57.6,3.2,65.9,4.6,8.300000000000004
Average,N/A,16,61.2,2.5,70.5,2.7,9.299999999999997
